event_id,user_id,action,timestamp,session_id,duration,item_id,app_id,poi_id,purchase_amount,search_keyword,compared_items
event_00229,user_023,compare,2026-01-13T18:50:04,sess_user_023_2026-01-13,228,,,poi_012,,,
event_00988,user_099,add_to_cart,2026-01-13T19:13:57,sess_user_099_2026-01-13,96,item_015,app_007,poi_002,,,
event_00739,user_074,browse,2026-01-13T19:50:17,sess_user_074_2026-01-13,449,item_002,,,,,
event_00838,user_083,browse,2026-01-13T20:03:02,sess_user_083_2026-01-13,416,item_014,app_004,poi_016,,,
event_00292,user_029,browse,2026-01-13T20:40:59,sess_user_029_2026-01-13,41,item_013,app_011,poi_006,,,
event_00252,user_025,search,2026-01-13T20:46:59,sess_user_025_2026-01-13,275,item_007,app_004,poi_008,,奥迪A8,
event_00525,user_053,click,2026-01-13T20:51:10,sess_user_053_2026-01-13,6,item_010,app_009,poi_006,,,
event_00133,user_012,compare,2026-01-13T21:08:51,sess_user_012_2026-01-13,283,item_010,app_008,,,,"item_010,item_007"
event_00542,user_055,purchase,2026-01-13T21:45:21,sess_user_055_2026-01-13,1737,item_013,app_007,,889990,,
event_00830,user_083,compare,2026-01-13T21:54:24,sess_user_083_2026-01-13,60,,app_002,,,,
event_00794,user_079,search,2026-01-13T22:10:26,sess_user_079_2026-01-13,52,item_014,app_002,poi_015,,保时捷Cayenne,
event_00432,user_043,browse,2026-01-13T22:40:33,sess_user_043_2026-01-13,436,,app_003,poi_004,,,
event_00163,user_016,add_to_cart,2026-01-13T22:54:41,sess_user_016_2026-01-13,136,item_001,app_004,poi_009,,,
event_00806,user_081,browse,2026-01-13T22:56:02,sess_user_081_2026-01-13,178,item_011,app_011,poi_001,,,
event_00365,user_036,browse,2026-01-13T23:29:50,sess_user_036_2026-01-13,214,item_005,app_007,poi_002,,,
event_00776,user_078,purchase,2026-01-13T23:46:19,sess_user_078_2026-01-13,529,item_005,app_011,,690938,,
event_00155,user_015,click,2026-01-13T23:52:14,sess_user_015_2026-01-13,3,,app_011,,,,
event_00219,user_022,add_to_cart,2026-01-14T00:15:54,sess_user_022_2026-01-14,75,item_007,app_013,poi_014,,,
event_00225,user_022,compare,2026-01-14T00:23:57,sess_user_022_2026-01-14,19,item_010,app_002,,,,"item_010,item_002"
event_00312,user_030,browse,2026-01-14T00:34:37,sess_user_030_2026-01-14,92,item_013,app_001,,,,
event_00629,user_063,click,2026-01-14T00:59:24,sess_user_063_2026-01-14,6,item_015,app_003,poi_009,,,
event_00036,user_004,purchase,2026-01-14T01:16:17,sess_user_004_2026-01-14,648,item_004,app_005,poi_003,1058512,,
event_00702,user_070,click,2026-01-14T02:20:56,sess_user_070_2026-01-14,2,item_017,app_005,poi_011,,,
event_00712,user_071,click,2026-01-14T02:40:45,sess_user_071_2026-01-14,7,item_012,app_006,poi_014,,,
event_00206,user_020,browse,2026-01-14T02:43:51,sess_user_020_2026-01-14,367,item_014,app_013,poi_015,,,
event_00510,user_051,add_to_cart,2026-01-14T02:58:34,sess_user_051_2026-01-14,12,item_007,app_008,poi_006,,,
event_00077,user_007,click,2026-01-14T03:05:21,sess_user_007_2026-01-14,2,item_009,app_012,poi_006,,,
event_00366,user_036,browse,2026-01-14T03:26:46,sess_user_036_2026-01-14,307,item_018,app_004,poi_016,,,
event_00825,user_083,browse,2026-01-14T03:33:24,sess_user_083_2026-01-14,460,,,poi_006,,,
event_00456,user_046,add_to_cart,2026-01-14T03:39:51,sess_user_046_2026-01-14,65,item_015,,poi_006,,,
event_00558,user_057,search,2026-01-14T04:32:34,sess_user_057_2026-01-14,289,item_013,app_002,poi_007,,保时捷Panamera,
event_00946,user_094,add_to_cart,2026-01-14T05:18:54,sess_user_094_2026-01-14,126,item_005,app_012,poi_005,,,
event_00059,user_006,purchase,2026-01-14T05:43:32,sess_user_006_2026-01-14,438,item_017,app_012,,1405927,,
event_00112,user_010,click,2026-01-14T05:52:32,sess_user_010_2026-01-14,9,item_014,,poi_007,,,
event_00305,user_030,compare,2026-01-14T05:56:13,sess_user_030_2026-01-14,78,,app_010,poi_002,,,
event_00425,user_043,click,2026-01-14T06:07:00,sess_user_043_2026-01-14,6,item_020,,poi_006,,,
event_00800,user_080,browse,2026-01-14T06:55:23,sess_user_080_2026-01-14,122,item_017,app_006,poi_015,,,
event_00544,user_055,compare,2026-01-14T07:07:21,sess_user_055_2026-01-14,73,,app_003,poi_008,,,
event_00004,user_001,compare,2026-01-14T07:19:46,sess_user_001_2026-01-14,16,item_006,app_003,,,,"item_006,item_003"
event_00391,user_039,click,2026-01-14T07:36:55,sess_user_039_2026-01-14,5,item_013,app_008,poi_011,,,
