relation_type,from_id,to_id,properties
购买,user_001,item_011,"{""purchase_date"": ""2025-05-09"", ""purchase_amount"": 1313792, ""item_name"": ""\u7279\u65af\u62c9Model 3""}"
浏览,user_001,item_001,"{""browse_date"": ""2026-02-02"", ""browse_duration"": 174, ""item_name"": ""\u5b9d\u9a6c7\u7cfb""}"
浏览,user_001,item_010,"{""browse_date"": ""2026-01-20"", ""browse_duration"": 419, ""item_name"": ""\u7279\u65af\u62c9Model S""}"
点击,user_001,item_012,"{""click_date"": ""2026-01-16"", ""click_source"": ""\u6296\u97f3\u5e7f\u544a"", ""item_name"": ""\u7279\u65af\u62c9Model X""}"
搜索,user_001,item_015,"{""search_date"": ""2026-02-06"", ""search_keyword"": ""\u4fdd\u65f6\u6377911"", ""item_name"": ""\u4fdd\u65f6\u6377911""}"
常驻POI,user_001,poi_001,"{""start_date"": ""2024-07-11"", ""poi_name"": ""\u671d\u9633\u533a\u67d0\u5c0f\u533a""}"
工作POI,user_001,poi_004,"{""start_date"": ""2024-05-23"", ""poi_name"": ""\u56fd\u8d38CBD""}"
高频出现在POI,user_001,poi_009,"{""visit_date"": ""2026-01-26"", ""visit_duration"": 125, ""poi_name"": ""\u7279\u65af\u62c9\u4f53\u9a8c\u5e97""}"
使用,user_001,app_003,"{""usage_date"": ""2026-01-31"", ""usage_duration"": 3440, ""app_name"": ""\u6613\u8f66""}"
使用,user_001,app_004,"{""usage_date"": ""2026-02-03"", ""usage_duration"": 352, ""app_name"": ""\u7279\u65af\u62c9""}"
浏览,user_002,item_010,"{""browse_date"": ""2026-01-31"", ""browse_duration"": 85, ""item_name"": ""\u7279\u65af\u62c9Model S""}"
浏览,user_002,item_012,"{""browse_date"": ""2026-02-11"", ""browse_duration"": 243, ""item_name"": ""\u7279\u65af\u62c9Model X""}"
曝光,user_002,item_016,"{""exposure_date"": ""2026-02-07"", ""exposure_channel"": ""\u641c\u7d22\u5e7f\u544a"", ""item_name"": ""\u96f7\u514b\u8428\u65afES""}"
点击,user_002,item_015,"{""click_date"": ""2026-01-26"", ""click_source"": ""\u641c\u7d22\u7ed3\u679c"", ""item_name"": ""\u4fdd\u65f6\u6377911""}"
搜索,user_002,item_016,"{""search_date"": ""2026-01-16"", ""search_keyword"": ""\u96f7\u514b\u8428\u65afES"", ""item_name"": ""\u96f7\u514b\u8428\u65afES""}"
留资,user_002,item_013,"{""register_date"": ""2026-01-16"", ""register_channel"": ""APP\u7559\u8d44"", ""item_name"": ""\u4fdd\u65f6\u6377Panamera""}"
常驻POI,user_002,poi_001,"{""start_date"": ""2023-02-27"", ""poi_name"": ""\u671d\u9633\u533a\u67d0\u5c0f\u533a""}"
工作POI,user_002,poi_004,"{""start_date"": ""2025-05-26"", ""poi_name"": ""\u56fd\u8d38CBD""}"
高频出现在POI,user_002,poi_007,"{""visit_date"": ""2026-01-22"", ""visit_duration"": 46, ""poi_name"": ""\u5b9d\u9a6c4S\u5e97""}"
使用,user_002,app_001,"{""usage_date"": ""2026-02-11"", ""usage_duration"": 596, ""app_name"": ""\u6c7d\u8f66\u4e4b\u5bb6""}"
使用,user_002,app_007,"{""usage_date"": ""2026-02-09"", ""usage_duration"": 1231, ""app_name"": ""\u74dc\u5b50\u4e8c\u624b\u8f66""}"
浏览,user_003,item_009,"{""browse_date"": ""2026-02-08"", ""browse_duration"": 348, ""item_name"": ""\u5965\u8feaQ7""}"
曝光,user_003,item_019,"{""exposure_date"": ""2026-01-14"", ""exposure_channel"": ""\u670b\u53cb\u5708\u5e7f\u544a"", ""item_name"": ""\u6c83\u5c14\u6c83S90""}"
点击,user_003,item_010,"{""click_date"": ""2026-01-19"", ""click_source"": ""APP\u63a8\u9001"", ""item_name"": ""\u7279\u65af\u62c9Model S""}"
搜索,user_003,item_017,"{""search_date"": ""2026-02-02"", ""search_keyword"": ""\u96f7\u514b\u8428\u65afRX"", ""item_name"": ""\u96f7\u514b\u8428\u65afRX""}"
常驻POI,user_003,poi_001,"{""start_date"": ""2024-04-01"", ""poi_name"": ""\u671d\u9633\u533a\u67d0\u5c0f\u533a""}"
工作POI,user_003,poi_006,"{""start_date"": ""2024-05-07"", ""poi_name"": ""\u91d1\u878d\u8857""}"
高频出现在POI,user_003,poi_013,"{""visit_date"": ""2026-01-30"", ""visit_duration"": 148, ""poi_name"": ""\u897f\u5355""}"
高频出现在POI,user_003,poi_014,"{""visit_date"": ""2026-01-17"", ""visit_duration"": 61, ""poi_name"": ""\u738b\u5e9c\u4e95""}"
使用,user_003,app_001,"{""usage_date"": ""2026-02-07"", ""usage_duration"": 3458, ""app_name"": ""\u6c7d\u8f66\u4e4b\u5bb6""}"
购买,user_004,item_011,"{""purchase_date"": ""2025-03-14"", ""purchase_amount"": 342454, ""item_name"": ""\u7279\u65af\u62c9Model 3""}"
浏览,user_004,item_010,"{""browse_date"": ""2026-02-10"", ""browse_duration"": 434, ""item_name"": ""\u7279\u65af\u62c9Model S""}"
曝光,user_004,item_008,"{""exposure_date"": ""2026-01-16"", ""exposure_channel"": ""\u89c6\u9891\u5e7f\u544a"", ""item_name"": ""\u5965\u8feaA6""}"
点击,user_004,item_006,"{""click_date"": ""2026-01-24"", ""click_source"": ""\u641c\u7d22\u7ed3\u679c"", ""item_name"": ""\u5954\u9a70GLC""}"
搜索,user_004,item_007,"{""search_date"": ""2026-01-17"", ""search_keyword"": ""\u5965\u8feaA8"", ""item_name"": ""\u5965\u8feaA8""}"
比价过,user_004,item_020,"{""compare_date"": ""2026-01-23"", ""compared_items"": [""item_020"", ""item_018""]}"
常驻POI,user_004,poi_003,"{""start_date"": ""2024-10-30"", ""poi_name"": ""\u987a\u4e49\u522b\u5885\u533a""}"
工作POI,user_004,poi_006,"{""start_date"": ""2024-02-21"", ""poi_name"": ""\u91d1\u878d\u8857""}"
高频出现在POI,user_004,poi_007,"{""visit_date"": ""2026-01-24"", ""visit_duration"": 126, ""poi_name"": ""\u5b9d\u9a6c4S\u5e97""}"
曝光,user_005,item_011,"{""exposure_date"": ""2026-01-24"", ""exposure_channel"": ""\u89c6\u9891\u5e7f\u544a"", ""item_name"": ""\u7279\u65af\u62c9Model 3""}"
